ladder,cell,name,status,key,generator,control_arm,gate,method
C,C0,Atomic,runs,computed,hilbench.c_items:generate,the trap procedure itself (admissibility alone),z = S · A,C0-ATOM
C,C1,Contextual,runs,computed,hilbench.c_items:generate,the literal-parse arm,z = S · I · A · K,C1-CTX
C,C2,Compositional,runs,computed,hilbench.c_items:generate,the one-constraint-at-a-time arm,z = S · J · A · K,C2-COMP
C,C3,Strategic,runs,computed,hilbench.c_items:generate,the local-rule arm,z = S · G · A · K,C3-STRAT
C,C4,Decoy-resistant,runs,computed,hilbench.hard:hc_decoy_generate,the publicly-checkable arm returns the decoy,z = S · D · A · K,C4-EXPERT
C,C5,Discovery,runs,computed,hilbench.hard:hc_rule_generate,the given-method (naive) arm; sealed cases unpredicted,z = P · R · A · K,C5-DISC
C,C6,Frontier-generalising,forms,computed (specified),,every single-domain ablation,z = S · N · A · K,C6-XDOM
C,CΩ,Open-ended,specification,external,,the pre-frontier; the instrument-ablation arm,z = R_reach · A · K,COMEGA-REACH
C^GUI,C0^GUI,Atom,forms,computed (frozen screen graph),,the oracle-screen arm and the perfect-actuator arm (diagnostic); the trap of C0,z = S · Δ_GP · A · K,C0-GUI-ATOM
C^GUI,C1^GUI,Context,forms,computed (frozen screen graph),,the oracle-screen arm and the perfect-actuator arm (diagnostic); the trap of C1,z = S · Δ_GP · A · K,C1-GUI-CTX
C^GUI,C2^GUI,Compositional,forms,computed (frozen screen graph),,the oracle-screen arm and the perfect-actuator arm (diagnostic); the trap of C2,z = S · Δ_GP · A · K,C2-GUI-COMP
C^GUI,C3^GUI,Strategic,forms,computed (frozen screen graph),,the oracle-screen arm and the perfect-actuator arm (diagnostic); the trap of C3,z = S · Δ_GP · A · K,C3-GUI-STRAT
C^GUI,C4^GUI,Expert,forms,computed (frozen screen graph),,the oracle-screen arm and the perfect-actuator arm (diagnostic); the trap of C4,z = S · Δ_GP · A · K,C4-GUI-EXPERT
C^GUI,C5^GUI,Discovery,forms,computed (frozen screen graph),,the oracle-screen arm and the perfect-actuator arm (diagnostic); the trap of C5,z = S · Δ_GP · A · K,C5-GUI-DISC
C^GUI,C6^GUI,Cross-domain,forms,computed (frozen screen graph),,the oracle-screen arm and the perfect-actuator arm (diagnostic); the trap of C6,z = S · Δ_GP · A · K,C6-GUI-XDOM
C^GUI,CΩ^GUI,GUI reach,specification,external,,the pre-frontier,z = R_reach · A · K,COMEGA-GUI-REACH
GP,GP0,Pixel/text,forms,computed (frozen graph),,the oracle graph,z = P_text · ¬promote,GP0-PIXEL
GP,GP1,UI element,forms,computed (frozen graph),,the oracle graph,z = P_object · ¬promote · K,GP1-ELEMENT
GP,GP2,Grounding,forms,computed (frozen graph),,the oracle graph,z = P_layout · ¬promote · K,GP2-GROUND
GP,GP3,State,forms,computed (frozen graph),,the oracle graph,z = P_state · ¬promote · K,GP3-STATE
