task_id,target_dl,task_band,family,task_title,delegation_prompt,setup_summary,deliverables,difficulty_horizon,difficulty_coordination,difficulty_uncertainty,difficulty_ambiguity,difficulty_tool_diversity,difficulty_verification,difficulty_novelty,difficulty_env_change,primary_intervention_budget,secondary_intervention_budgets,allowed_human_help,disallowed_human_help,governance_approval_policy,success_criterion,verifier_inputs,hidden_perturbation,escalation_policy,max_cid,time_budget_minutes,min_meaningful_actions,required_persistent_state,dynamic_environment,expected_autonomy,split,environment_seed,asset_bundle_status,benchmark_version,notes,stratum,difficulty_risk,$coordinate_comment,difficulty_vector_framework.ambiguity,difficulty_vector_framework.horizon,difficulty_vector_framework.uncertainty,difficulty_vector_framework.tool_diversity,difficulty_vector_framework.novelty,difficulty_vector_framework.verification,difficulty_vector_framework.coordination,difficulty_vector_framework.risk,difficulty_vector_local.env_change,kappa.verifiability,kappa.reversibility,t_do,t_do_coords,$kappa_comment,loss.value,loss.c_det,loss.c_undo,loss.c_residual,loss.rho,loss.p_star,reliability_target_v0_1,$reliability_comment,acceptance.locus_required,acceptance.locus_inadmissible,acceptance.$locus_comment,acceptance.criterion_register_required,acceptance.$register_comment,acceptance.sigma_bound,acceptance.sigma_bound_mechanism,verifier.verifier_type,verifier.verifier_id,verifier.false_pass_rate,verifier.$false_pass_comment,verifier.fidelity_evidence,load_instrumentation.required_episode_fields,load_instrumentation.load_identity,load_instrumentation.$comment,load_instrumentation.t_delta_source,probe_kind,probe_pair_id,falsified_if,expected_outcome_class,scaffold_in_prompt,intervention_script,intervention_timing,declared_tool_set,dl_o_target,coordination_required,original_task_band,post_tool_task_band,resume_required,interrupt_at,h_sweep_group,rules_exercised,$split_comment,$why_this_class_exists,loss.$note
DLI-DL0-SOF-01,DL0,T0,software,DL0 software benchmark 1,"In the supplied search service, perform the exact named edit in Task Card A, run the named verifier command, and report the exit code.",sandbox repository + hidden tests,"Primary artifact(s), execution trace, intervention log, and verifier evidence for search service.",1,1,0,0,1,1,0,0,H5-H4,H5;H4,"Step-by-step or frequent guidance is permitted, but every cognitive instruction must be logged.",No unlogged assistance.,Governance/permission approvals are logged separately and do not count as cognitive help unless they also provide strategy.,Exact reference result or named command/test passes; no unauthorized extra changes.,Task assets + sealed reference/hidden tests + complete agent/tool/intervention trace.,None,Allowed when evidence or permission is genuinely insufficient; counted as not autonomously completed for frontier scoring.,CID5,10,1,none beyond current turn,No,Explicit atomic instruction execution,certification_hidden,2026082401,specification starter; executable assets should be generated from the seed and kept hidden for certification,DLI-Bench v0.2,"Difficulty and loss values are DESIGN LABELS (0-5 and cost units), not empirically calibrated. Verifier false-pass rates are null, meaning unknown.",ladder,1,"difficulty_risk is the framework's eighth coordinate (cost of error) and was absent from v0.1, which carried env_change in its place. env_change is retained as a local ninth, not as one of the eight.",0,1,0,1,0,1,1,1,0,1,1,3,ambiguity; horizon; uncertainty; tool_diversity; novelty; coordination,"the frontier is downward closed in t_do WITHIN a kappa cell, which is the property the single band was reaching for and did not have. Comparisons across cells are different questions and are reported as such.",1.0,0.05,0.1,0.0,0.15,0.1304,0.95,superseded by loss.p_star. v0.1's target was chosen by the evaluator and fell as the band rose; p* is set by the class and does the opposite where failure is expensive.,a2_separated_process,a0_performing_system,"the requirement is on locus, not on species: acceptance may be a machine and must not be the same machine. One base model in two processes with separate credentials and enforced write sets satisfies it; one model told to now act as reviewer does not.",True,criteria are written before the work and outside the system's write set. A criterion authored after the work is a criterion fitted to it.,0.0,the human specifies each operation and its acceptance; no criterion is system-authored,exact_match_or_command,null,null,"null means UNKNOWN, never zero. A frontier reported without this or an explicit unknown breaches Rule 11.",null,human_interventions[].raised_at; human_interventions[].responded_at; human_interventions[].cid; human_interventions[].cognitive; human_interventions[].minutes,L = r * (T_delta + c_i),"report L per CID band rather than dividing by an unknown, so that one deep rescue is not averaged against twenty approvals.","responded_at - raised_at, per intervention",,,,complete,none,,rescue_only,standard sandbox toolchain; no external network,,no,,,no,,,,"restratified: v0.1 gave this band one split, which leaves a frontier with no anchor below the band it certifies",,
DLI-DL0-SOF-02,DL0,T0,software,DL0 software benchmark 2,"In the supplied configuration/parser module, perform the exact named edit in Task Card B, run the named verifier command, and report the exit code.",sandbox package + verifier,"Primary artifact(s), execution trace, intervention log, and verifier evidence for configuration/parser module.",1,2,1,0,2,1,0,1,H5-H4,H5;H4,"Step-by-step or frequent guidance is permitted, but every cognitive instruction must be logged.",No unlogged assistance.,Governance/permission approvals are logged separately and do not count as cognitive help unless they also provide strategy.,Exact reference result or named command/test passes; no unauthorized extra changes.,Task assets + sealed reference/hidden tests + complete agent/tool/intervention trace.,None,Allowed when evidence or permission is genuinely insufficient; counted as not autonomously completed for frontier scoring.,CID5,10,1,none beyond current turn,No,Explicit atomic instruction execution,dev,2026082402,specification starter; executable assets should be generated from the seed and kept hidden for certification,DLI-Bench v0.2,"Difficulty and loss values are DESIGN LABELS (0-5 and cost units), not empirically calibrated. Verifier false-pass rates are null, meaning unknown.",ladder,1,"difficulty_risk is the framework's eighth coordinate (cost of error) and was absent from v0.1, which carried env_change in its place. env_change is retained as a local ninth, not as one of the eight.",0,1,1,2,0,1,2,1,1,1,1,6,ambiguity; horizon; uncertainty; tool_diversity; novelty; coordination,"the frontier is downward closed in t_do WITHIN a kappa cell, which is the property the single band was reaching for and did not have. Comparisons across cells are different questions and are reported as such.",1.0,0.05,0.1,0.0,0.15,0.1304,0.95,superseded by loss.p_star. v0.1's target was chosen by the evaluator and fell as the band rose; p* is set by the class and does the opposite where failure is expensive.,a2_separated_process,a0_performing_system,"the requirement is on locus, not on species: acceptance may be a machine and must not be the same machine. One base model in two processes with separate credentials and enforced write sets satisfies it; one model told to now act as reviewer does not.",True,criteria are written before the work and outside the system's write set. A criterion authored after the work is a criterion fitted to it.,0.0,the human specifies each operation and its acceptance; no criterion is system-authored,exact_match_or_command,null,null,"null means UNKNOWN, never zero. A frontier reported without this or an explicit unknown breaches Rule 11.",null,human_interventions[].raised_at; human_interventions[].responded_at; human_interventions[].cid; human_interventions[].cognitive; human_interventions[].minutes,L = r * (T_delta + c_i),"report L per CID band rather than dividing by an unknown, so that one deep rescue is not averaged against twenty approvals.","responded_at - raised_at, per intervention",,,,complete,none,,rescue_only,standard sandbox toolchain; no external network,,no,,,no,,,,"restratified: v0.1 gave this band one split, which leaves a frontier with no anchor below the band it certifies",,
DLI-DL0-DAT-01,DL0,T0,data,DL0 data benchmark 1,Apply the exact transformation in Task Card A to the supplied multi-table dataset; do not add any other columns or rows.,synthetic CSV/JSON bundle + sealed reference,"Primary artifact(s), execution trace, intervention log, and verifier evidence for multi-table dataset.",1,1,0,0,1,1,0,0,H5-H4,H5;H4,"Step-by-step or frequent guidance is permitted, but every cognitive instruction must be logged.",No unlogged assistance.,Governance/permission approvals are logged separately and do not count as cognitive help unless they also provide strategy.,Exact reference result or named command/test passes; no unauthorized extra changes.,Task assets + sealed reference/hidden tests + complete agent/tool/intervention trace.,None,Allowed when evidence or permission is genuinely insufficient; counted as not autonomously completed for frontier scoring.,CID5,10,1,none beyond current turn,No,Explicit atomic instruction execution,dev,2026082403,specification starter; executable assets should be generated from the seed and kept hidden for certification,DLI-Bench v0.2,"Difficulty and loss values are DESIGN LABELS (0-5 and cost units), not empirically calibrated. Verifier false-pass rates are null, meaning unknown.",ladder,1,"difficulty_risk is the framework's eighth coordinate (cost of error) and was absent from v0.1, which carried env_change in its place. env_change is retained as a local ninth, not as one of the eight.",0,1,0,1,0,1,1,1,0,1,1,3,ambiguity; horizon; uncertainty; tool_diversity; novelty; coordination,"the frontier is downward closed in t_do WITHIN a kappa cell, which is the property the single band was reaching for and did not have. Comparisons across cells are different questions and are reported as such.",1.0,0.1,0.1,0.0,0.2,0.1667,0.95,superseded by loss.p_star. v0.1's target was chosen by the evaluator and fell as the band rose; p* is set by the class and does the opposite where failure is expensive.,a2_separated_process,a0_performing_system,"the requirement is on locus, not on species: acceptance may be a machine and must not be the same machine. One base model in two processes with separate credentials and enforced write sets satisfies it; one model told to now act as reviewer does not.",True,criteria are written before the work and outside the system's write set. A criterion authored after the work is a criterion fitted to it.,0.0,the human specifies each operation and its acceptance; no criterion is system-authored,exact_match_or_command,null,null,"null means UNKNOWN, never zero. A frontier reported without this or an explicit unknown breaches Rule 11.",null,human_interventions[].raised_at; human_interventions[].responded_at; human_interventions[].cid; human_interventions[].cognitive; human_interventions[].minutes,L = r * (T_delta + c_i),"report L per CID band rather than dividing by an unknown, so that one deep rescue is not averaged against twenty approvals.","responded_at - raised_at, per intervention",,,,complete,none,,rescue_only,standard sandbox toolchain; no external network,,no,,,no,,,,"restratified: v0.1 gave this band one split, which leaves a frontier with no anchor below the band it certifies",,
DLI-DL0-DAT-02,DL0,T0,data,DL0 data benchmark 2,Apply the exact transformation in Task Card B to the supplied analytics pipeline; do not add any other columns or rows.,synthetic dataset + metric oracle,"Primary artifact(s), execution trace, intervention log, and verifier evidence for analytics pipeline.",1,2,1,0,2,1,0,1,H5-H4,H5;H4,"Step-by-step or frequent guidance is permitted, but every cognitive instruction must be logged.",No unlogged assistance.,Governance/permission approvals are logged separately and do not count as cognitive help unless they also provide strategy.,Exact reference result or named command/test passes; no unauthorized extra changes.,Task assets + sealed reference/hidden tests + complete agent/tool/intervention trace.,None,Allowed when evidence or permission is genuinely insufficient; counted as not autonomously completed for frontier scoring.,CID5,10,1,none beyond current turn,No,Explicit atomic instruction execution,validation,2026082404,specification starter; executable assets should be generated from the seed and kept hidden for certification,DLI-Bench v0.2,"Difficulty and loss values are DESIGN LABELS (0-5 and cost units), not empirically calibrated. Verifier false-pass rates are null, meaning unknown.",ladder,1,"difficulty_risk is the framework's eighth coordinate (cost of error) and was absent from v0.1, which carried env_change in its place. env_change is retained as a local ninth, not as one of the eight.",0,1,1,2,0,1,2,1,1,1,1,6,ambiguity; horizon; uncertainty; tool_diversity; novelty; coordination,"the frontier is downward closed in t_do WITHIN a kappa cell, which is the property the single band was reaching for and did not have. Comparisons across cells are different questions and are reported as such.",1.0,0.1,0.1,0.0,0.2,0.1667,0.95,superseded by loss.p_star. v0.1's target was chosen by the evaluator and fell as the band rose; p* is set by the class and does the opposite where failure is expensive.,a2_separated_process,a0_performing_system,"the requirement is on locus, not on species: acceptance may be a machine and must not be the same machine. One base model in two processes with separate credentials and enforced write sets satisfies it; one model told to now act as reviewer does not.",True,criteria are written before the work and outside the system's write set. A criterion authored after the work is a criterion fitted to it.,0.0,the human specifies each operation and its acceptance; no criterion is system-authored,exact_match_or_command,null,null,"null means UNKNOWN, never zero. A frontier reported without this or an explicit unknown breaches Rule 11.",null,human_interventions[].raised_at; human_interventions[].responded_at; human_interventions[].cid; human_interventions[].cognitive; human_interventions[].minutes,L = r * (T_delta + c_i),"report L per CID band rather than dividing by an unknown, so that one deep rescue is not averaged against twenty approvals.","responded_at - raised_at, per intervention",,,,complete,none,,rescue_only,standard sandbox toolchain; no external network,,no,,,no,,,,"restratified: v0.1 gave this band one split, which leaves a frontier with no anchor below the band it certifies",,
DLI-DL0-RES-01,DL0,T0,research,DL0 research benchmark 1,Extract the exact requested fact from the supplied synthetic literature/evidence set in Task Card A and return only the requested value.,sealed synthetic sources + reference rubric,"Primary artifact(s), execution trace, intervention log, and verifier evidence for synthetic literature/evidence set.",1,1,0,0,1,1,0,0,H5-H4,H5;H4,"Step-by-step or frequent guidance is permitted, but every cognitive instruction must be logged.",No unlogged assistance.,Governance/permission approvals are logged separately and do not count as cognitive help unless they also provide strategy.,Exact reference result or named command/test passes; no unauthorized extra changes.,Task assets + sealed reference/hidden tests + complete agent/tool/intervention trace.,None,Allowed when evidence or permission is genuinely insufficient; counted as not autonomously completed for frontier scoring.,CID5,10,1,none beyond current turn,No,Explicit atomic instruction execution,dev,2026082405,specification starter; executable assets should be generated from the seed and kept hidden for certification,DLI-Bench v0.2,"Difficulty and loss values are DESIGN LABELS (0-5 and cost units), not empirically calibrated. Verifier false-pass rates are null, meaning unknown.",ladder,0,"difficulty_risk is the framework's eighth coordinate (cost of error) and was absent from v0.1, which carried env_change in its place. env_change is retained as a local ninth, not as one of the eight.",0,1,0,1,0,1,1,0,0,1,0,3,ambiguity; horizon; uncertainty; tool_diversity; novelty; coordination,"the frontier is downward closed in t_do WITHIN a kappa cell, which is the property the single band was reaching for and did not have. Comparisons across cells are different questions and are reported as such.",1.0,0.2,0.05,0.0,0.25,0.2,0.95,superseded by loss.p_star. v0.1's target was chosen by the evaluator and fell as the band rose; p* is set by the class and does the opposite where failure is expensive.,a2_separated_process,a0_performing_system,"the requirement is on locus, not on species: acceptance may be a machine and must not be the same machine. One base model in two processes with separate credentials and enforced write sets satisfies it; one model told to now act as reviewer does not.",True,criteria are written before the work and outside the system's write set. A criterion authored after the work is a criterion fitted to it.,0.0,the human specifies each operation and its acceptance; no criterion is system-authored,exact_match_or_command,null,null,"null means UNKNOWN, never zero. A frontier reported without this or an explicit unknown breaches Rule 11.",null,human_interventions[].raised_at; human_interventions[].responded_at; human_interventions[].cid; human_interventions[].cognitive; human_interventions[].minutes,L = r * (T_delta + c_i),"report L per CID band rather than dividing by an unknown, so that one deep rescue is not averaged against twenty approvals.","responded_at - raised_at, per intervention",,,,complete,none,,rescue_only,standard sandbox toolchain; no external network,,no,,,no,,,,"restratified: v0.1 gave this band one split, which leaves a frontier with no anchor below the band it certifies",,
DLI-DL0-RES-02,DL0,T0,research,DL0 research benchmark 2,Extract the exact requested fact from the supplied simulated scientific system in Task Card B and return only the requested value.,scientific simulator + hidden mechanism,"Primary artifact(s), execution trace, intervention log, and verifier evidence for simulated scientific system.",1,2,1,0,2,1,0,1,H5-H4,H5;H4,"Step-by-step or frequent guidance is permitted, but every cognitive instruction must be logged.",No unlogged assistance.,Governance/permission approvals are logged separately and do not count as cognitive help unless they also provide strategy.,Exact reference result or named command/test passes; no unauthorized extra changes.,Task assets + sealed reference/hidden tests + complete agent/tool/intervention trace.,None,Allowed when evidence or permission is genuinely insufficient; counted as not autonomously completed for frontier scoring.,CID5,10,1,none beyond current turn,No,Explicit atomic instruction execution,validation,2026082406,specification starter; executable assets should be generated from the seed and kept hidden for certification,DLI-Bench v0.2,"Difficulty and loss values are DESIGN LABELS (0-5 and cost units), not empirically calibrated. Verifier false-pass rates are null, meaning unknown.",ladder,0,"difficulty_risk is the framework's eighth coordinate (cost of error) and was absent from v0.1, which carried env_change in its place. env_change is retained as a local ninth, not as one of the eight.",0,1,1,2,0,1,2,0,1,1,0,6,ambiguity; horizon; uncertainty; tool_diversity; novelty; coordination,"the frontier is downward closed in t_do WITHIN a kappa cell, which is the property the single band was reaching for and did not have. Comparisons across cells are different questions and are reported as such.",1.0,0.2,0.05,0.0,0.25,0.2,0.95,superseded by loss.p_star. v0.1's target was chosen by the evaluator and fell as the band rose; p* is set by the class and does the opposite where failure is expensive.,a2_separated_process,a0_performing_system,"the requirement is on locus, not on species: acceptance may be a machine and must not be the same machine. One base model in two processes with separate credentials and enforced write sets satisfies it; one model told to now act as reviewer does not.",True,criteria are written before the work and outside the system's write set. A criterion authored after the work is a criterion fitted to it.,0.0,the human specifies each operation and its acceptance; no criterion is system-authored,exact_match_or_command,null,null,"null means UNKNOWN, never zero. A frontier reported without this or an explicit unknown breaches Rule 11.",null,human_interventions[].raised_at; human_interventions[].responded_at; human_interventions[].cid; human_interventions[].cognitive; human_interventions[].minutes,L = r * (T_delta + c_i),"report L per CID band rather than dividing by an unknown, so that one deep rescue is not averaged against twenty approvals.","responded_at - raised_at, per intervention",,,,complete,none,,rescue_only,standard sandbox toolchain; no external network,,no,,,no,,,,"restratified: v0.1 gave this band one split, which leaves a frontier with no anchor below the band it certifies",,
DLI-DL0-PLA-01,DL0,T0,planning,DL0 planning benchmark 1,Apply the explicit scheduling/selection rule in Task Card A to the supplied resource-constrained project and return the specified field.,project simulator + hidden scenarios,"Primary artifact(s), execution trace, intervention log, and verifier evidence for resource-constrained project.",1,1,0,0,1,1,0,0,H5-H4,H5;H4,"Step-by-step or frequent guidance is permitted, but every cognitive instruction must be logged.",No unlogged assistance.,Governance/permission approvals are logged separately and do not count as cognitive help unless they also provide strategy.,Exact reference result or named command/test passes; no unauthorized extra changes.,Task assets + sealed reference/hidden tests + complete agent/tool/intervention trace.,None,Allowed when evidence or permission is genuinely insufficient; counted as not autonomously completed for frontier scoring.,CID5,10,1,none beyond current turn,No,Explicit atomic instruction execution,validation,2026082407,specification starter; executable assets should be generated from the seed and kept hidden for certification,DLI-Bench v0.2,"Difficulty and loss values are DESIGN LABELS (0-5 and cost units), not empirically calibrated. Verifier false-pass rates are null, meaning unknown.",ladder,1,"difficulty_risk is the framework's eighth coordinate (cost of error) and was absent from v0.1, which carried env_change in its place. env_change is retained as a local ninth, not as one of the eight.",0,1,0,1,0,1,1,1,0,1,1,3,ambiguity; horizon; uncertainty; tool_diversity; novelty; coordination,"the frontier is downward closed in t_do WITHIN a kappa cell, which is the property the single band was reaching for and did not have. Comparisons across cells are different questions and are reported as such.",1.0,0.2,0.1,0.0,0.3,0.2308,0.95,superseded by loss.p_star. v0.1's target was chosen by the evaluator and fell as the band rose; p* is set by the class and does the opposite where failure is expensive.,a2_separated_process,a0_performing_system,"the requirement is on locus, not on species: acceptance may be a machine and must not be the same machine. One base model in two processes with separate credentials and enforced write sets satisfies it; one model told to now act as reviewer does not.",True,criteria are written before the work and outside the system's write set. A criterion authored after the work is a criterion fitted to it.,0.0,the human specifies each operation and its acceptance; no criterion is system-authored,exact_match_or_command,null,null,"null means UNKNOWN, never zero. A frontier reported without this or an explicit unknown breaches Rule 11.",null,human_interventions[].raised_at; human_interventions[].responded_at; human_interventions[].cid; human_interventions[].cognitive; human_interventions[].minutes,L = r * (T_delta + c_i),"report L per CID band rather than dividing by an unknown, so that one deep rescue is not averaged against twenty approvals.","responded_at - raised_at, per intervention",,,,complete,none,,rescue_only,standard sandbox toolchain; no external network,,no,,,no,,,,"restratified: v0.1 gave this band one split, which leaves a frontier with no anchor below the band it certifies",,
DLI-DL0-PLA-02,DL0,T0,planning,DL0 planning benchmark 2,Apply the explicit scheduling/selection rule in Task Card B to the supplied dynamic portfolio and return the specified field.,portfolio simulator + reward oracle,"Primary artifact(s), execution trace, intervention log, and verifier evidence for dynamic portfolio.",1,2,1,0,2,1,0,1,H5-H4,H5;H4,"Step-by-step or frequent guidance is permitted, but every cognitive instruction must be logged.",No unlogged assistance.,Governance/permission approvals are logged separately and do not count as cognitive help unless they also provide strategy.,Exact reference result or named command/test passes; no unauthorized extra changes.,Task assets + sealed reference/hidden tests + complete agent/tool/intervention trace.,None,Allowed when evidence or permission is genuinely insufficient; counted as not autonomously completed for frontier scoring.,CID5,10,1,none beyond current turn,No,Explicit atomic instruction execution,certification_hidden,2026082408,specification starter; executable assets should be generated from the seed and kept hidden for certification,DLI-Bench v0.2,"Difficulty and loss values are DESIGN LABELS (0-5 and cost units), not empirically calibrated. Verifier false-pass rates are null, meaning unknown.",ladder,1,"difficulty_risk is the framework's eighth coordinate (cost of error) and was absent from v0.1, which carried env_change in its place. env_change is retained as a local ninth, not as one of the eight.",0,1,1,2,0,1,2,1,1,1,1,6,ambiguity; horizon; uncertainty; tool_diversity; novelty; coordination,"the frontier is downward closed in t_do WITHIN a kappa cell, which is the property the single band was reaching for and did not have. Comparisons across cells are different questions and are reported as such.",1.0,0.2,0.1,0.0,0.3,0.2308,0.95,superseded by loss.p_star. v0.1's target was chosen by the evaluator and fell as the band rose; p* is set by the class and does the opposite where failure is expensive.,a2_separated_process,a0_performing_system,"the requirement is on locus, not on species: acceptance may be a machine and must not be the same machine. One base model in two processes with separate credentials and enforced write sets satisfies it; one model told to now act as reviewer does not.",True,criteria are written before the work and outside the system's write set. A criterion authored after the work is a criterion fitted to it.,0.0,the human specifies each operation and its acceptance; no criterion is system-authored,exact_match_or_command,null,null,"null means UNKNOWN, never zero. A frontier reported without this or an explicit unknown breaches Rule 11.",null,human_interventions[].raised_at; human_interventions[].responded_at; human_interventions[].cid; human_interventions[].cognitive; human_interventions[].minutes,L = r * (T_delta + c_i),"report L per CID band rather than dividing by an unknown, so that one deep rescue is not averaged against twenty approvals.","responded_at - raised_at, per intervention",,,,complete,none,,rescue_only,standard sandbox toolchain; no external network,,no,,,no,,,,"restratified: v0.1 gave this band one split, which leaves a frontier with no anchor below the band it certifies",,
DLI-DL0-DOC-01,DL0,T0,document,DL0 document benchmark 1,Apply the exact formatting or replacement operation in Task Card A to the supplied policy/standards corpus and make no other change.,synthetic document corpus + reference map,"Primary artifact(s), execution trace, intervention log, and verifier evidence for policy/standards corpus.",1,1,0,0,1,1,0,0,H5-H4,H5;H4,"Step-by-step or frequent guidance is permitted, but every cognitive instruction must be logged.",No unlogged assistance.,Governance/permission approvals are logged separately and do not count as cognitive help unless they also provide strategy.,Exact reference result or named command/test passes; no unauthorized extra changes.,Task assets + sealed reference/hidden tests + complete agent/tool/intervention trace.,None,Allowed when evidence or permission is genuinely insufficient; counted as not autonomously completed for frontier scoring.,CID5,10,1,none beyond current turn,No,Explicit atomic instruction execution,certification_hidden,2026082409,specification starter; executable assets should be generated from the seed and kept hidden for certification,DLI-Bench v0.2,"Difficulty and loss values are DESIGN LABELS (0-5 and cost units), not empirically calibrated. Verifier false-pass rates are null, meaning unknown.",ladder,0,"difficulty_risk is the framework's eighth coordinate (cost of error) and was absent from v0.1, which carried env_change in its place. env_change is retained as a local ninth, not as one of the eight.",0,1,0,1,0,1,1,0,0,1,0,3,ambiguity; horizon; uncertainty; tool_diversity; novelty; coordination,"the frontier is downward closed in t_do WITHIN a kappa cell, which is the property the single band was reaching for and did not have. Comparisons across cells are different questions and are reported as such.",1.0,0.1,0.05,0.0,0.15,0.1304,0.95,superseded by loss.p_star. v0.1's target was chosen by the evaluator and fell as the band rose; p* is set by the class and does the opposite where failure is expensive.,a2_separated_process,a0_performing_system,"the requirement is on locus, not on species: acceptance may be a machine and must not be the same machine. One base model in two processes with separate credentials and enforced write sets satisfies it; one model told to now act as reviewer does not.",True,criteria are written before the work and outside the system's write set. A criterion authored after the work is a criterion fitted to it.,0.0,the human specifies each operation and its acceptance; no criterion is system-authored,exact_match_or_command,null,null,"null means UNKNOWN, never zero. A frontier reported without this or an explicit unknown breaches Rule 11.",null,human_interventions[].raised_at; human_interventions[].responded_at; human_interventions[].cid; human_interventions[].cognitive; human_interventions[].minutes,L = r * (T_delta + c_i),"report L per CID band rather than dividing by an unknown, so that one deep rescue is not averaged against twenty approvals.","responded_at - raised_at, per intervention",,,,complete,none,,rescue_only,standard sandbox toolchain; no external network,,no,,,no,,,,"restratified: v0.1 gave this band one split, which leaves a frontier with no anchor below the band it certifies",,
DLI-DL0-DOC-02,DL0,T0,document,DL0 document benchmark 2,Apply the exact formatting or replacement operation in Task Card B to the supplied technical dossier and make no other change.,synthetic project artifacts + external rubric,"Primary artifact(s), execution trace, intervention log, and verifier evidence for technical dossier.",1,2,1,0,2,1,0,1,H5-H4,H5;H4,"Step-by-step or frequent guidance is permitted, but every cognitive instruction must be logged.",No unlogged assistance.,Governance/permission approvals are logged separately and do not count as cognitive help unless they also provide strategy.,Exact reference result or named command/test passes; no unauthorized extra changes.,Task assets + sealed reference/hidden tests + complete agent/tool/intervention trace.,None,Allowed when evidence or permission is genuinely insufficient; counted as not autonomously completed for frontier scoring.,CID5,10,1,none beyond current turn,No,Explicit atomic instruction execution,dev,2026082410,specification starter; executable assets should be generated from the seed and kept hidden for certification,DLI-Bench v0.2,"Difficulty and loss values are DESIGN LABELS (0-5 and cost units), not empirically calibrated. Verifier false-pass rates are null, meaning unknown.",ladder,0,"difficulty_risk is the framework's eighth coordinate (cost of error) and was absent from v0.1, which carried env_change in its place. env_change is retained as a local ninth, not as one of the eight.",0,1,1,2,0,1,2,0,1,1,0,6,ambiguity; horizon; uncertainty; tool_diversity; novelty; coordination,"the frontier is downward closed in t_do WITHIN a kappa cell, which is the property the single band was reaching for and did not have. Comparisons across cells are different questions and are reported as such.",1.0,0.1,0.05,0.0,0.15,0.1304,0.95,superseded by loss.p_star. v0.1's target was chosen by the evaluator and fell as the band rose; p* is set by the class and does the opposite where failure is expensive.,a2_separated_process,a0_performing_system,"the requirement is on locus, not on species: acceptance may be a machine and must not be the same machine. One base model in two processes with separate credentials and enforced write sets satisfies it; one model told to now act as reviewer does not.",True,criteria are written before the work and outside the system's write set. A criterion authored after the work is a criterion fitted to it.,0.0,the human specifies each operation and its acceptance; no criterion is system-authored,exact_match_or_command,null,null,"null means UNKNOWN, never zero. A frontier reported without this or an explicit unknown breaches Rule 11.",null,human_interventions[].raised_at; human_interventions[].responded_at; human_interventions[].cid; human_interventions[].cognitive; human_interventions[].minutes,L = r * (T_delta + c_i),"report L per CID band rather than dividing by an unknown, so that one deep rescue is not averaged against twenty approvals.","responded_at - raised_at, per intervention",,,,complete,none,,rescue_only,standard sandbox toolchain; no external network,,no,,,no,,,,"restratified: v0.1 gave this band one split, which leaves a frontier with no anchor below the band it certifies",,
