domain,T_band,binding_status,source,H_budgets
paper,T0,BAND_ONLY,"uab-coordinate-t0-document_workflow (document workflow, not a manuscript element)",
paper,T1,SPECIFICATION_ONLY,"DLI-Bench v0.2 `document` starters (20 rows); PaperAgent bands, plan §10.1",
paper,T2,SPECIFICATION_ONLY,"DLI-Bench v0.2 `document` starters (20 rows); PaperAgent bands, plan §10.1",
paper,T3,SPECIFICATION_ONLY,"DLI-Bench v0.2 `document` starters (20 rows); PaperAgent bands, plan §10.1",
paper,T4,SPECIFICATION_ONLY,"DLI-Bench v0.2 `document` starters (20 rows); PaperAgent bands, plan §10.1",
paper,T5,SPECIFICATION_ONLY,"DLI-Bench v0.2 `document` starters (20 rows); PaperAgent bands, plan §10.1",
funding,T0,SPECIFICATION_ONLY,"agent_coordinate_probes_v0_1 `funding::T{0..4}-H{0..2}` procedures; FundingAgent bands, plan §10.2",
funding,T1,SPECIFICATION_ONLY,"agent_coordinate_probes_v0_1 `funding::T{0..4}-H{0..2}` procedures; FundingAgent bands, plan §10.2",
funding,T2,SPECIFICATION_ONLY,"agent_coordinate_probes_v0_1 `funding::T{0..4}-H{0..2}` procedures; FundingAgent bands, plan §10.2",
funding,T3,SPECIFICATION_ONLY,"agent_coordinate_probes_v0_1 `funding::T{0..4}-H{0..2}` procedures; FundingAgent bands, plan §10.2",
funding,T4,SPECIFICATION_ONLY,"agent_coordinate_probes_v0_1 `funding::T{0..4}-H{0..2}` procedures; FundingAgent bands, plan §10.2",
funding,T5,SPECIFICATION_ONLY,"agent_coordinate_probes_v0_1 `funding::T{0..4}-H{0..2}` procedures; FundingAgent bands, plan §10.2",
job,T0,SPECIFICATION_ONLY,"agent_coordinate_probes_v0_1 `job::T{0..4}-H{0..2}` procedures; JobAgent bands, plan §10.3",
job,T1,SPECIFICATION_ONLY,"agent_coordinate_probes_v0_1 `job::T{0..4}-H{0..2}` procedures; JobAgent bands, plan §10.3",
job,T2,SPECIFICATION_ONLY,"agent_coordinate_probes_v0_1 `job::T{0..4}-H{0..2}` procedures; JobAgent bands, plan §10.3",
job,T3,SPECIFICATION_ONLY,"agent_coordinate_probes_v0_1 `job::T{0..4}-H{0..2}` procedures; JobAgent bands, plan §10.3",
job,T4,SPECIFICATION_ONLY,"agent_coordinate_probes_v0_1 `job::T{0..4}-H{0..2}` procedures; JobAgent bands, plan §10.3",
job,T5,SPECIFICATION_ONLY,"agent_coordinate_probes_v0_1 `job::T{0..4}-H{0..2}` procedures; JobAgent bands, plan §10.3",
code,T0,BAND_ONLY,"uab-coordinate-t0-data_analysis / document_workflow (data and document, not a code edit)",
code,T1,BOUND,uab-code-t1-request_timeout,H0 H1 H2
code,T2,BOUND,uab-code-t2-pipeline,H0 H1 H2
code,T3,BOUND,uab-code-t3-search_latency,H0 H1 H2
code,T4,GENERATOR_BOUND,uab-code-t4-mini_language; uab-code-t4-shift_cover,H0 H1 H2
code,T5,SPECIFICATION_ONLY,DLI-Bench v0.2 `software` starters (42 rows),
research,T0,BAND_ONLY,uab-coordinate-t0-data_analysis,
research,T1,BAND_ONLY,"uab-coordinate-t1-data_analysis; five research-agent field benchmarks are candidate assets, not UAB manifests",
research,T2,SPECIFICATION_ONLY,DLI-Bench v0.2 `research` starters (38 rows); research-agent field benchmarks as candidate assets,
research,T3,SPECIFICATION_ONLY,DLI-Bench v0.2 `research` starters (38 rows); research-agent field benchmarks as candidate assets,
research,T4,SPECIFICATION_ONLY,DLI-Bench v0.2 `research` starters (38 rows); research-agent field benchmarks as candidate assets,
research,T5,BOUND,uab-research-t5-regime_switch,H0 H1
business,T0,SPECIFICATION_ONLY,"DLI-Bench v0.2 `planning` starters (21 rows); BusinessAgent bands, plan §10.6",
business,T1,SPECIFICATION_ONLY,"DLI-Bench v0.2 `planning` starters (21 rows); BusinessAgent bands, plan §10.6",
business,T2,SPECIFICATION_ONLY,"DLI-Bench v0.2 `planning` starters (21 rows); BusinessAgent bands, plan §10.6",
business,T3,SPECIFICATION_ONLY,"DLI-Bench v0.2 `planning` starters (21 rows); BusinessAgent bands, plan §10.6",
business,T4,SPECIFICATION_ONLY,"DLI-Bench v0.2 `planning` starters (21 rows); BusinessAgent bands, plan §10.6",
business,T5,SPECIFICATION_ONLY,"DLI-Bench v0.2 `planning` starters (21 rows); BusinessAgent bands, plan §10.6",
