split,coordinate,level,status,n_tasks
public,C,C1,BOUND,4
public,C,C2,BOUND,4
public,C,C3,BOUND,4
public,C,C4,BOUND,4
public,C,C5,DIAGNOSTIC_BOUND,4
public,DI,T0,BOUND,3
public,DI,T1,BOUND,3
public,DI,T2,BOUND,3
public,DI,T3,BOUND,3
public,DI,T4,SPECIFICATION_ONLY,2
public,I,I0,BOUND,3
public,I,I1,BOUND,4
public,I,I2,BOUND,4
public,I,I3,BOUND,4
public,I,I4,SPECIFICATION_ONLY,1
public,I,I5,SPECIFICATION_ONLY,1
public,I,IΩ,SPECIFICATION_ONLY,1
public,O,O0,BOUND,4
public,O,O1,BOUND_CONTRACT,1
public,O,O2,BOUND_CONTRACT,1
public,O,O3,BOUND_CONTRACT,1
public,SA,SA1,BOUND,4
public,SA,SA2,BOUND,3
public,SA,SA3,BOUND,3
public,SA,SA4,BOUND_CONTRACT,1
public,SA,SA5,BOUND_CONTRACT,1
development_private,C,C1,BOUND,8
development_private,C,C2,BOUND,8
development_private,C,C3,BOUND,8
development_private,C,C4,BOUND,8
development_private,C,C5,DIAGNOSTIC_BOUND,8
development_private,DI,T0,BOUND,6
development_private,DI,T1,BOUND,6
development_private,DI,T2,BOUND,6
development_private,DI,T3,BOUND,6
development_private,I,I0,BOUND,6
development_private,I,I1,BOUND,8
development_private,I,I2,BOUND,8
development_private,I,I3,BOUND,8
development_private,O,O0,BOUND,8
development_private,O,O1,BOUND_CONTRACT,2
development_private,O,O2,BOUND_CONTRACT,2
development_private,O,O3,BOUND_CONTRACT,2
development_private,SA,SA1,BOUND,8
development_private,SA,SA2,BOUND,6
development_private,SA,SA3,BOUND,6
development_private,SA,SA4,BOUND_CONTRACT,2
development_private,SA,SA5,BOUND_CONTRACT,2
